author, title, et, in, qui, non, is, hic, quod, ego, sed, de, ut, ad, ille, si, ab, cum, quis, suus, ipse, quam, meus, quia, nec, nos, noster, que, sibi, pro, enim, vel, ex, autem, ne, per, aut, tamen, iam, quo, quidem, sic, iste, alius, nisi, super, etiam, tam, ergo, ubi, sicut, nunc, sine, nam, ita, magis, vero, apud, bene, tantus, inter, immo, propter, quippe, quoque, idem, ac, solum, denique, quoniam, talis, adhuc, quantus, atque, quomodo, etsi, unde, tamquam, ante, utique, contra, nullus, igitur, certe, aliquis, dum, semper, videlicet, quidam, siquidem, quisquis, sub, satis, quantum, usque, numquid, neque, an, minus, post, quasi, unquam, iuxta, verum, itaque, pote, secundum, multum, quando, alter, ibi, tunc, sane, uterque, nemo, omnino, profecto, sive, nonne, prius, porro, ample, alioqui, vere, utinam, libenter, interim, donec, numquam, cito, nimirum, cur, plane, absque, quatenus, ceterum, proinde, longe, pariter, at, facile, inde, simul, ubique, ideo, tandem, iterum, coram, rursus, huiusmodi, parve, quisque, 
1, in_1, 118, 38, 71, 82, 22, 22, 36, 34, 32, 33, 26, 21, 19, 33, 17, 21, 28, 13, 11, 24, 26, 12, 19, 5, 3, 11, 13, 12, 8, 12, 6, 8, 9, 9, 2, 0, 11, 12, 7, 3, 0, 11, 2, 3, 3, 2, 3, 7, 5, 5, 4, 3, 3, 9, 5, 3, 3, 5, 2, 0, 2, 5, 2, 0, 3, 3, 7, 3, 5, 4, 4, 1, 4, 2, 3, 3, 5, 4, 3, 0, 1, 2, 2, 1, 1, 4, 1, 1, 1, 0, 6, 3, 1, 3, 1, 5, 1, 5, 0, 2, 1, 1, 2, 2, 0, 3, 2, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 11, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 1, 1, 1, 3, 2, 0, 1, 
1, in_2, 82, 47, 90, 95, 24, 23, 29, 46, 34, 38, 17, 37, 38, 40, 22, 33, 33, 28, 9, 20, 25, 15, 3, 2, 3, 11, 17, 6, 6, 9, 5, 2, 13, 2, 12, 10, 9, 8, 4, 8, 2, 8, 3, 3, 3, 8, 9, 8, 3, 1, 3, 7, 2, 6, 5, 1, 5, 3, 1, 2, 4, 1, 2, 2, 5, 1, 2, 0, 4, 3, 3, 0, 6, 6, 5, 1, 2, 2, 3, 3, 1, 3, 1, 5, 0, 0, 1, 1, 4, 3, 1, 0, 1, 5, 0, 2, 3, 0, 1, 2, 1, 0, 1, 2, 0, 0, 0, 5, 1, 0, 0, 5, 1, 1, 0, 3, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0, 3, 0, 2, 1, 0, 0, 0, 2, 3, 0, 6, 4, 0, 1, 1, 2, 0, 0, 0, 0, 1, 
1, in_3, 131, 66, 65, 65, 24, 33, 47, 45, 27, 31, 23, 22, 29, 22, 17, 24, 29, 22, 29, 16, 11, 7, 11, 16, 11, 14, 27, 6, 8, 11, 12, 11, 7, 7, 8, 12, 10, 9, 9, 6, 2, 9, 7, 2, 7, 10, 5, 9, 4, 2, 10, 5, 2, 3, 5, 2, 2, 2, 5, 0, 3, 7, 7, 2, 3, 3, 2, 7, 4, 5, 3, 1, 1, 6, 3, 2, 2, 8, 0, 6, 0, 5, 2, 1, 0, 4, 2, 3, 0, 2, 0, 2, 0, 2, 1, 5, 3, 0, 2, 6, 0, 2, 3, 2, 0, 1, 3, 0, 3, 3, 1, 1, 1, 2, 3, 7, 2, 6, 2, 0, 2, 0, 1, 0, 3, 0, 1, 1, 1, 0, 1, 4, 2, 1, 1, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 2, 1, 1, 3, 
1, in_4, 98, 59, 66, 83, 24, 29, 38, 26, 48, 25, 25, 23, 26, 23, 18, 31, 17, 12, 18, 16, 16, 15, 15, 10, 2, 18, 27, 15, 8, 7, 8, 7, 5, 5, 9, 10, 8, 6, 12, 6, 4, 2, 7, 2, 9, 1, 5, 7, 6, 4, 14, 6, 6, 4, 9, 4, 2, 8, 4, 1, 12, 5, 3, 2, 3, 4, 5, 2, 5, 3, 2, 0, 2, 5, 3, 5, 1, 2, 0, 2, 1, 3, 2, 4, 3, 2, 7, 4, 1, 6, 3, 2, 5, 2, 0, 0, 0, 1, 4, 2, 0, 0, 5, 3, 6, 2, 2, 2, 1, 8, 3, 1, 5, 0, 4, 3, 0, 4, 2, 1, 3, 3, 3, 2, 0, 1, 5, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 0, 4, 2, 1, 0, 1, 0, 1, 2, 
1, in_5, 101, 54, 42, 83, 27, 39, 55, 38, 45, 34, 33, 17, 18, 38, 23, 14, 15, 18, 28, 14, 11, 17, 24, 34, 9, 12, 14, 7, 7, 13, 11, 8, 9, 6, 4, 15, 13, 6, 16, 4, 2, 8, 7, 5, 13, 6, 9, 4, 2, 3, 5, 4, 8, 3, 3, 6, 5, 9, 6, 2, 1, 4, 3, 3, 4, 6, 1, 1, 2, 6, 4, 1, 4, 5, 4, 0, 4, 7, 2, 4, 2, 3, 1, 7, 1, 6, 3, 1, 1, 1, 1, 4, 3, 1, 2, 2, 2, 2, 2, 4, 1, 1, 6, 2, 1, 1, 5, 2, 3, 0, 1, 1, 0, 1, 1, 2, 0, 4, 1, 0, 3, 3, 1, 1, 3, 0, 0, 1, 3, 2, 2, 2, 1, 0, 0, 1, 0, 1, 0, 3, 3, 0, 1, 2, 1, 0, 2, 2, 0, 2, 
1, in_6, 127, 69, 82, 59, 17, 25, 36, 45, 36, 19, 31, 16, 21, 20, 14, 21, 23, 14, 21, 16, 11, 4, 10, 8, 11, 28, 8, 8, 11, 6, 8, 8, 4, 7, 6, 9, 11, 9, 9, 10, 5, 1, 4, 8, 8, 7, 7, 7, 2, 3, 7, 5, 9, 7, 6, 1, 2, 5, 2, 4, 2, 10, 4, 6, 8, 5, 4, 4, 2, 3, 1, 5, 2, 3, 2, 5, 1, 2, 4, 4, 3, 2, 2, 3, 1, 1, 2, 3, 0, 0, 5, 3, 1, 0, 0, 2, 0, 0, 1, 2, 2, 3, 0, 2, 0, 1, 1, 0, 1, 1, 4, 1, 1, 1, 2, 3, 0, 2, 2, 2, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 2, 2, 3, 3, 1, 2, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 3, 
1, in_7, 102, 43, 50, 88, 23, 12, 50, 44, 35, 31, 24, 19, 25, 31, 25, 23, 25, 18, 16, 29, 18, 15, 9, 16, 13, 25, 13, 15, 12, 15, 16, 11, 5, 10, 18, 11, 12, 9, 9, 8, 4, 6, 12, 1, 8, 4, 5, 6, 2, 8, 5, 3, 6, 12, 8, 3, 0, 3, 0, 4, 4, 5, 2, 2, 6, 3, 4, 3, 1, 2, 3, 1, 8, 2, 5, 2, 0, 5, 4, 1, 0, 4, 1, 4, 3, 4, 1, 4, 2, 3, 3, 7, 1, 2, 4, 1, 9, 2, 0, 5, 0, 3, 2, 2, 1, 10, 5, 0, 1, 3, 2, 2, 4, 3, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 3, 
1, in_8, 74, 46, 61, 80, 17, 39, 64, 47, 52, 24, 33, 24, 20, 30, 19, 12, 24, 5, 13, 23, 19, 10, 15, 8, 7, 18, 19, 6, 8, 32, 6, 16, 17, 9, 7, 10, 12, 11, 14, 4, 0, 16, 0, 2, 14, 10, 9, 8, 7, 9, 2, 13, 4, 6, 3, 3, 2, 5, 2, 2, 7, 6, 8, 3, 3, 3, 2, 2, 5, 3, 3, 1, 2, 3, 4, 3, 2, 1, 1, 2, 1, 4, 3, 8, 8, 2, 3, 4, 1, 3, 5, 6, 1, 1, 1, 8, 1, 2, 1, 3, 4, 1, 4, 3, 4, 0, 3, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 1, 1, 0, 3, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
1, in_9, 128, 53, 71, 66, 23, 32, 27, 23, 33, 34, 29, 19, 20, 28, 26, 18, 24, 25, 22, 23, 6, 10, 21, 13, 6, 13, 10, 8, 11, 9, 13, 8, 10, 2, 14, 5, 9, 9, 8, 6, 6, 2, 7, 7, 6, 2, 9, 3, 0, 2, 1, 5, 3, 1, 5, 2, 4, 4, 2, 1, 6, 7, 3, 2, 2, 2, 1, 1, 1, 3, 4, 2, 4, 1, 2, 4, 3, 5, 2, 0, 2, 3, 1, 2, 3, 8, 0, 5, 1, 1, 1, 3, 0, 2, 2, 2, 3, 2, 1, 3, 0, 3, 2, 2, 1, 5, 1, 0, 2, 0, 2, 4, 3, 1, 1, 1, 0, 2, 1, 3, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 3, 0, 1, 3, 1, 0, 3, 1, 2, 0, 1, 1, 2, 0, 1, 0, 
1, in_10, 121, 86, 65, 61, 34, 29, 36, 26, 19, 27, 19, 26, 17, 26, 26, 22, 30, 32, 27, 15, 17, 19, 7, 7, 6, 13, 17, 10, 9, 0, 16, 10, 4, 8, 6, 7, 12, 3, 4, 3, 4, 5, 12, 7, 10, 1, 5, 0, 3, 2, 7, 7, 1, 6, 1, 0, 0, 4, 2, 3, 4, 6, 3, 4, 5, 4, 6, 4, 0, 5, 3, 6, 2, 0, 5, 4, 0, 4, 0, 1, 3, 1, 2, 7, 2, 3, 2, 4, 1, 1, 0, 0, 1, 0, 1, 6, 0, 0, 2, 8, 0, 2, 3, 4, 0, 7, 1, 1, 2, 2, 6, 1, 1, 1, 2, 0, 2, 0, 2, 1, 1, 3, 1, 1, 3, 0, 0, 0, 3, 3, 2, 1, 1, 3, 2, 1, 0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 3, 1, 1, 4, 
1, in_11, 132, 78, 61, 59, 16, 25, 30, 11, 29, 33, 20, 14, 22, 19, 20, 24, 17, 16, 16, 17, 3, 13, 28, 12, 11, 17, 13, 4, 10, 11, 12, 7, 3, 5, 10, 7, 13, 4, 6, 6, 5, 8, 4, 4, 4, 5, 5, 3, 5, 8, 4, 5, 5, 2, 3, 2, 1, 7, 4, 1, 1, 6, 4, 4, 2, 1, 8, 1, 2, 3, 2, 2, 2, 2, 3, 5, 3, 1, 0, 6, 1, 1, 0, 1, 1, 0, 2, 6, 1, 4, 2, 0, 1, 2, 1, 1, 1, 2, 0, 2, 3, 4, 2, 1, 1, 2, 2, 0, 2, 1, 5, 1, 3, 1, 1, 1, 1, 1, 3, 0, 1, 4, 1, 5, 0, 0, 1, 3, 4, 1, 0, 1, 1, 1, 0, 0, 1, 3, 1, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 1, 
1, in_12, 160, 69, 55, 64, 35, 16, 22, 7, 26, 20, 21, 17, 26, 21, 19, 23, 25, 40, 19, 14, 7, 6, 20, 5, 5, 19, 20, 14, 9, 10, 6, 7, 7, 6, 4, 9, 8, 7, 9, 4, 8, 3, 9, 4, 3, 7, 4, 4, 7, 6, 3, 6, 8, 6, 4, 2, 3, 6, 3, 3, 1, 4, 2, 5, 1, 2, 7, 3, 3, 1, 2, 3, 3, 6, 2, 3, 3, 1, 3, 1, 1, 6, 4, 2, 0, 2, 3, 1, 2, 0, 1, 0, 0, 6, 1, 2, 4, 1, 1, 2, 3, 4, 3, 0, 2, 1, 0, 1, 1, 2, 6, 2, 3, 1, 5, 1, 3, 3, 2, 0, 1, 0, 0, 1, 4, 2, 1, 2, 2, 0, 2, 0, 0, 4, 2, 1, 1, 1, 2, 2, 1, 1, 0, 3, 1, 2, 0, 1, 0, 2, 
1, in_13, 141, 62, 53, 64, 33, 27, 37, 36, 32, 19, 25, 31, 19, 36, 14, 26, 30, 16, 6, 11, 12, 10, 20, 5, 13, 15, 13, 13, 9, 5, 9, 6, 6, 5, 12, 4, 4, 6, 6, 8, 5, 3, 4, 6, 9, 4, 1, 1, 1, 4, 4, 3, 4, 5, 2, 5, 7, 2, 3, 2, 0, 5, 2, 1, 4, 5, 3, 4, 1, 0, 2, 3, 2, 1, 1, 0, 1, 3, 0, 4, 2, 2, 1, 1, 6, 2, 0, 3, 0, 0, 2, 0, 3, 1, 0, 0, 1, 3, 0, 1, 2, 3, 2, 2, 1, 1, 0, 0, 1, 0, 1, 1, 2, 2, 3, 1, 1, 0, 1, 3, 1, 0, 0, 3, 2, 0, 0, 1, 0, 1, 2, 2, 2, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 1, 
